#{"t_start": 1772812606.729522, "env_id": "Meta-World/MT1"}
r,l,t,s,success
26.734641,500,1253.648401,0,0.0
14.994971,500,1255.556544,0,0.0
50.732502,500,1257.383538,0,0.0
3702.100461,500,1259.20582,1.0,1.0
45.340037,500,1261.070306,0,0.0
114.71742,500,1262.919196,1.0,0.0
838.754458,500,1264.730921,1.0,1.0
134.93357,500,1266.613374,1.0,0.0
24.258615,500,1268.484073,0,0.0
97.950643,500,1270.290096,0,0.0
1677.264057,500,1272.130388,1.0,0.0
4680.839255,500,1273.983116,1.0,1.0
4077.804164,500,1275.839773,1.0,1.0
621.619744,500,1277.671972,1.0,0.0
4392.48816,500,1279.486097,1.0,1.0
33.128554,500,1281.336872,0,0.0
61.782251,500,1283.218622,0,0.0
86.076963,500,1285.123774,0,0.0
281.391847,500,1287.105861,1.0,0.0
83.889782,500,1289.004877,0,0.0
28.757,500,1290.85942,0,0.0
895.930823,500,1292.727413,1.0,0.0
16.693252,500,1294.574121,0,0.0
51.763895,500,1296.461528,0,0.0
76.504629,500,1298.282314,0,0.0
57.158864,500,1300.093215,0,0.0
113.895887,500,1302.877466,1.0,0.0
3236.258044,500,1304.731948,1.0,1.0
463.635667,500,1306.555897,1.0,0.0
34.450187,500,1308.449203,0,0.0
23.289233,500,1310.353665,0,0.0
122.153208,500,1312.263471,1.0,0.0
64.630336,500,1314.195707,0,0.0
35.978744,500,1316.090578,0,0.0
4720.926337,500,1318.17746,1.0,1.0
4581.072542,500,1320.134048,1.0,1.0
4393.151003,500,1322.105264,1.0,1.0
4603.340619,500,1324.065276,1.0,1.0
4284.161583,500,1325.974168,1.0,1.0
52.949235,500,1327.936726,0,0.0
2256.58077,500,1329.854971,1.0,0.0
100.058309,500,1331.844679,1.0,0.0
4383.682831,500,1333.912219,1.0,1.0
4483.092069,500,1335.824653,1.0,1.0
63.873548,500,1337.6684,0,0.0
97.89178,500,1339.531904,1.0,0.0
43.075001,500,1341.467833,0,0.0
